Date;Customer;TipoDocumento;Num;Producto;Descripcion;Qty;SalesPrice;Amount;Balance;Class;SalesRep;TipoCliente;ID;Month
2025-05-29;Bravo   Francisco Diaz;Invoice;008-05631;Spices:AS Chicken Base;1 / 30 lb. (box or pail);1.0;39.0;39.0;4319546.96;American Spice;Lisset Limpio -020;RETAIL  DSD;1388875;May
2025-05-29;Bravo   Francisco Diaz;Invoice;008-05631;Spices:AS Meat Tenderizer;12 / 4.5 oz;1.0;25.0;25.0;4319571.96;American Spice;Lisset Limpio -020;RETAIL  DSD;1388876;May
2025-05-29;Bravo   Francisco Diaz;Invoice;008-05631;Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.;;3.0;27.85;83.55;4319655.51;Bulk Rice;Lisset Limpio -020;RETAIL  DSD;1388877;May
2025-05-29;Bravo   Francisco Diaz;Invoice;008-05631;Spices:AS Sazon (for all);1 / 30 lb (box or pail);1.0;51.0;51.0;4319706.51;American Spice;Lisset Limpio -020;RETAIL  DSD;1388878;May
2025-05-29;Sedanos Supermarkets #33;Invoice;008-05632;Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.;;4.0;28.25;113.0;4319819.51;Bulk Rice;Keila Alfaro-Visvikis;RETAIL SEDANOS;1388879;May
2025-05-29;Sedanos Supermarkets #33;Invoice;008-05632;;Discount;;;-2.26;4319817.25;;Keila Alfaro-Visvikis;RETAIL SEDANOS;1388880;May
2025-05-29;El Palacio de los jugos / Divan and Denise Food;Invoice;008-05633;Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.;;2.0;27.85;55.7;4319872.95;Bulk Rice;Lisset Limpio -020;Cafeteria;1388881;May
2025-05-29;El Palacio de los jugos / Divan and Denise Food;Invoice;008-05633;Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.;;4.0;26.75;107.0;4319979.95;Bulk Rice;Lisset Limpio -020;Cafeteria;1388882;May
2025-05-29;El Palacio de los jugos / Divan and Denise Food;Invoice;008-05633;Dry Beans:Dry Beans - Black Beans 50;Dry Black Beans 50 lb;1.0;34.0;34.0;4320013.95;Dry Beans;Lisset Limpio -020;Cafeteria;1388883;May
2025-05-29;El Palacio de los jugos / Lita Foods Inc.;Invoice;008-05634;Dry Beans:Dry Beans - Black Beans 50;Dry Black Beans 50 lb;1.0;34.0;34.0;4320047.95;Dry Beans;Lisset Limpio -020;Cafeteria;1388884;May
