Date,Customer,TipoDocumento,Num,Producto,Descripcion,Qty,SalesPrice,Amount,Balance,Class,SalesRep,TipoCliente,ID,Month
2025-08-11,El Palacio de los jugos / Divan and Denise Food,Invoice,008-06206,Dry Beans:Dry Beans - Black Beans 50,Dry Black Beans 50 lb,2.0,34.0,68.0,4583268,Dry Beans,Lisset Limpio -020,Cafeteria,1390145,Aug
2025-08-11,JMN Dely Corp,Invoice,008-06207,Dry Beans:Dry Beans - Black Beans 50,Dry Black Beans 50 lb,1.0,457.0,457.0,4583313,Dry Beans,Keila Alfaro-Visvikis,CAFETERIA y RESTAURANTS,1390146,Aug
2025-08-11,JMN Dely Corp,Invoice,008-06207,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,2.0,2785.0,557.0,4583369,Bulk Rice,Keila Alfaro-Visvikis,CAFETERIA y RESTAURANTS,1390147,Aug
2025-08-11,JMN Dely Corp,Invoice,008-06207,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,2.0,2775.0,555.0,4583424,Bulk Rice,Keila Alfaro-Visvikis,CAFETERIA y RESTAURANTS,1390148,Aug
2025-08-11,El Palacio de Los Jugos / Casa mía Food Restaurant inc,Invoice,008-06208,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,4.0,2675.0,107.0,4583531,Bulk Rice,Lisset Limpio -020,Cafeteria,1390149,Aug
2025-08-11,Sedanos Supermarkets  #4,Invoice,008-06209,Arroz Envasado:Long Rice 10 LB Dos Hermanos,,5.0,355.0,1775.0,4583709,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390150,Aug
2025-08-11,Sedanos Supermarkets  #4,Invoice,008-06209,Varios:Promotional Allowance,Long Grain 10 lb,5.0,-32.0,-16.0,4583693,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390151,Aug
2025-08-11,Sedanos Supermarkets #7,Invoice,008-06210,Arroz Envasado:Long Rice 10 LB Dos Hermanos,,10.0,355.0,355.0,4584048,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390152,Aug
2025-08-11,Sedanos Supermarkets #7,Invoice,008-06210,Varios:Promotional Allowance,,10.0,-32.0,-32.0,4584016,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390153,Aug
2025-08-11,Sedanos Supermarkets #42,Invoice,008-06211,Arroz Envasado:Long Rice 10 LB Dos Hermanos,,10.0,355.0,355.0,4584371,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390154,Aug
2025-08-11,Sedanos Supermarkets #42,Invoice,008-06211,Varios:Promotional Allowance,,10.0,-32.0,-32.0,4584339,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390155,Aug
2025-08-11,Sedanos Supermarkets #23,Invoice,008-06212,Arroz Envasado:Long Rice 10 LB Dos Hermanos,,10.0,355.0,355.0,4584694,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390156,Aug
2025-08-11,Sedanos Supermarkets #23,Invoice,008-06212,Varios:Promotional Allowance,DH Long grain 10lb,10.0,-32.0,-32.0,4584662,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390157,Aug
2025-08-11,El Palacio de los jugos / Delicias Criollas (DIAGO FOOD_MILLER),Invoice,008-06213,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,4.0,2785.0,1114.0,4584773,Bulk Rice,Lisset Limpio -020,Cafeteria,1390158,Aug
2025-08-11,El Palacio de los jugos / Delicias Criollas (DIAGO FOOD_MILLER),Invoice,008-06213,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,14.0,2675.0,3745.0,4585148,Bulk Rice,Lisset Limpio -020,Cafeteria,1390159,Aug
2025-08-13,Sabor Tropical Supermarket #4,Invoice,008-06214,Arroz Envasado:Parboiled 5KG Dos Hermanos.,6  11lbs,15.0,465.0,6975.0,4585845,Branded Rice,Keila Alfaro-Visvikis,RETAIL  DSD,1390160,Aug
2025-08-13,Sabor Tropical Supermarket #4,Invoice,008-06214,Arroz Envasado:Parboiled 5KG Dos Hermanos.,6  11lbs,7.0,465.0,3255.0,4586171,Branded Rice,Keila Alfaro-Visvikis,RETAIL  DSD,1390161,Aug
2025-08-13,Rey Chavez Distributor #2,Invoice,008-06215,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,25.0,275.0,6875.0,4586858,Bulk Rice,Lisset Limpio -020,WHOLESALER,1390162,Aug
2025-08-13,Sedanos Supermarkets  #11,Invoice,008-06216,Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos,,1.0,175.0,175.0,4586876,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390163,Aug
2025-08-13,Sedanos Supermarkets  #11,Invoice,008-06216,Varios:Promotional Allowance,,1.0,-25.0,-25.0,4586873,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390164,Aug
2025-08-13,Sedanos Supermarkets  #11,Invoice,008-06216,Arroz Envasado:Parboiled 1kg Bolsa Dos Hermanos.,.,1.0,199.0,199.0,4586893,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390165,Aug
2025-08-13,Sedanos Supermarkets  #11,Invoice,008-06216,Varios:Promotional Allowance,,1.0,-5.0,-5.0,4586888,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390166,Aug
2025-08-13,Sedanos Supermarkets  #11,Invoice,008-06216,Spanish Style Yellow Rice:AS Spanish Style Yellow Rice,AS Spanish Style Yellow Rice 6 / 3.25 oz,1.0,345.0,345.0,4586923,American Spice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390167,Aug
2025-08-13,Sedanos Supermarkets  #11,Invoice,008-06216,Varios:Promotional Allowance,,1.0,-45.0,-45.0,4586918,American Spice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390168,Aug
2025-08-13,Sedanos Supermarkets  #11,Invoice,008-06216,Arroz Envasado:Long Rice 10 LB Dos Hermanos,,10.0,355.0,355.0,4587273,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390169,Aug
2025-08-13,Sedanos Supermarkets  #11,Invoice,008-06216,Varios:Promotional Allowance,,10.0,-32.0,-32.0,4587241,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390170,Aug
2025-08-13,ALS Foods,Invoice,008-06217,Liquids:AS Bitter Orange,4 / 1 gl.,1.0,159.0,159.0,4587257,American Spice,Lisset Limpio -020,CAFETERIA y RESTAURANTS,1390171,Aug
2025-08-13,ALS Foods,Invoice,008-06217,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,6.0,2785.0,1671.0,4587424,Bulk Rice,Lisset Limpio -020,CAFETERIA y RESTAURANTS,1390172,Aug
2025-08-13,ALS Foods,Invoice,008-06217,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,11.0,2775.0,30525.0,4587730,Bulk Rice,Lisset Limpio -020,CAFETERIA y RESTAURANTS,1390173,Aug
2025-08-13,ALS Foods,Invoice,008-06217,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,1.0,2775.0,2775.0,4587757,Bulk Rice,Lisset Limpio -020,CAFETERIA y RESTAURANTS,1390174,Aug
2025-08-13,Sedanos Supermarkets #16,Invoice,008-06218,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,4.0,2825.0,113.0,4587870,Bulk Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390175,Aug
2025-08-13,Sedanos Supermarkets #10,Invoice,008-06220,Arroz Envasado:Parboiled 1kg Bolsa Dos Hermanos.,.,2.0,199.0,398.0,4587910,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390176,Aug
2025-08-13,Sedanos Supermarkets #10,Invoice,008-06220,Varios:Promotional Allowance,,2.0,-5.0,-10.0,4587900,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390177,Aug
2025-08-13,Sedanos Supermarkets #10,Invoice,008-06220,Arroz Envasado:Long Rice 10 LB Dos Hermanos,,10.0,355.0,355.0,4588255,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390178,Aug
2025-08-13,Sedanos Supermarkets #10,Invoice,008-06220,Varios:Promotional Allowance,,10.0,-32.0,-32.0,4588223,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390179,Aug
2025-08-13,Sedanos Supermarkets #43,Invoice,008-06221,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,4.0,2825.0,113.0,4588336,Bulk Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1390180,Aug
2025-08-13,Gala Fresh Farms - Boca Ratón,Invoice,008-06222,Arroz Envasado:Long Rice 10 LB Dos Hermanos,,15.0,355.0,5325.0,4588869,Branded Rice,Keila Alfaro-Visvikis,RETAIL  DSD,1390181,Aug
